Time(ps) Source Detector[0] Detector[1] Detector[2] Detector[3] Detector[4]
1.2927e+04 -6.1695e-13 -1.4526e-09 7.3143e-59 2.7013e-56 5.0408e-68 -4.9975e-68
1.2999e+04 -3.7976e-13 -2.1451e-09 2.3845e-58 8.8021e-56 2.5642e-67 -2.5422e-67
1.3072e+04 -2.2217e-13 -2.0779e-09 7.6523e-58 2.8234e-55 1.2773e-66 -1.2663e-66
1.3144e+04 -1.2440e-13 -1.3029e-09 2.4199e-57 8.9236e-55 6.2324e-66 -6.1786e-66
1.3216e+04 -6.6880e-14 -1.1166e-10 7.5462e-57 2.7813e-54 2.9795e-65 -2.9538e-65
1.3288e+04 -3.4555e-14 1.0737e-09 2.3222e-56 8.5542e-54 1.3960e-64 -1.3839e-64
1.3360e+04 -1.7133e-14 1.8491e-09 7.0560e-56 2.5977e-53 6.4118e-64 -6.3563e-64
1.3433e+04 -8.1179e-15 1.9657e-09 2.1179e-55 7.7928e-53 2.8874e-63 -2.8623e-63
1.3505e+04 -3.6458e-15 1.4084e-09 6.2828e-55 2.3104e-52 1.2750e-62 -1.2639e-62
1.3577e+04 -1.5276e-15 3.9208e-10 1.8427e-54 6.7720e-52 5.5214e-62 -5.4733e-62
1.3649e+04 -5.7775e-16 -7.2046e-10 5.3453e-54 1.9632e-51 2.3450e-61 -2.3245e-61
1.3722e+04 -1.8094e-16 -1.5473e-09 1.5340e-53 5.6304e-51 9.7678e-61 -9.6823e-61
1.3794e+04 -3.1748e-17 -1.8178e-09 4.3567e-53 1.5980e-50 3.9899e-60 -3.9549e-60
1.3866e+04 1.4340e-17 -1.4605e-09 1.2248e-52 4.4895e-50 1.5980e-59 -1.5839e-59
1.3938e+04 2.1910e-17 -6.1964e-10 3.4094e-52 1.2488e-49 6.2738e-59 -6.2184e-59
1.4010e+04 1.7758e-17 4.0190e-10 9.3984e-52 3.4401e-49 2.4135e-58 -2.3921e-58
1.4083e+04 1.1826e-17 1.2510e-09 2.5663e-51 9.3867e-49 9.0921e-58 -9.0113e-58
1.4155e+04 7.0905e-18 1.6458e-09 6.9426e-51 2.5375e-48 3.3517e-57 -3.3218e-57
1.4227e+04 3.9617e-18 1.4689e-09 1.8611e-50 6.7971e-48 1.2077e-56 -1.1969e-56
1.4299e+04 2.0969e-18 8.0043e-10 4.9445e-50 1.8045e-47 4.2473e-56 -4.2090e-56
1.4372e+04 1.0603e-18 -1.1567e-10 1.3021e-49 4.7483e-47 1.4546e-55 -1.4414e-55
1.4444e+04 5.1445e-19 -9.6055e-10 3.3996e-49 1.2387e-46 4.8366e-55 -4.7925e-55
1.4516e+04 2.3986e-19 -1.4508e-09 8.8005e-49 3.2041e-46 1.5540e-54 -1.5397e-54
1.4588e+04 1.0740e-19 -1.4329e-09 2.2592e-48 8.2184e-46 4.7890e-54 -4.7446e-54
1.4660e+04 4.6033e-20 -9.3067e-10 5.7520e-48 2.0907e-45 1.3980e-53 -1.3849e-53
1.4733e+04 1.8762e-20 -1.3058e-10 1.4527e-47 5.2756e-45 3.7752e-53 -3.7389e-53
1.4805e+04 7.1791e-21 6.8672e-10 3.6394e-47 1.3206e-44 8.9376e-53 -8.8484e-53
1.4877e+04 2.5136e-21 1.2446e-09 9.0465e-47 3.2797e-44 1.5610e-52 -1.5437e-52
1.4949e+04 7.5750e-22 1.3635e-09 2.2313e-46 8.0819e-44 -6.3592e-54 7.4504e-54
1.5021e+04 1.5843e-22 1.0181e-09 5.4612e-46 1.9763e-43 -1.9002e-51 1.8870e-51
1.5094e+04 -1.2921e-23 3.4082e-10 1.3266e-45 4.7964e-43 -1.2796e-50 1.2693e-50
1.5166e+04 -4.2674e-23 -4.2885e-10 3.1985e-45 1.1554e-42 -6.4101e-50 6.3565e-50
1.5238e+04 -3.4472e-23 -1.0282e-09 7.6551e-45 2.7625e-42 -2.8236e-49 2.7994e-49
1.5310e+04 -2.1455e-23 -1.2609e-09 1.8188e-44 6.5574e-42 -1.1530e-48 1.1430e-48
1.5383e+04 -1.1792e-23 -1.0606e-09 4.2905e-44 1.5453e-41 -4.4690e-48 4.4297e-48
1.5455e+04 -5.9901e-24 -5.0907e-10 1.0049e-43 3.6159e-41 -1.6652e-47 1.6504e-47
1.5527e+04 -2.8707e-24 1.9638e-10 2.3372e-43 8.4013e-41 -6.0109e-47 5.9571e-47
1.5599e+04 -1.3116e-24 8.1320e-10 5.3980e-43 1.9384e-40 -2.1124e-46 2.0934e-46
1.5671e+04 -5.7435e-25 1.1366e-09 1.2382e-42 4.4418e-40 -7.2523e-46 7.1866e-46
1.5744e+04 -2.4164e-25 1.0672e-09 2.8209e-42 1.0109e-39 -2.4385e-45 2.4163e-45
1.5816e+04 -9.7677e-26 6.4103e-10 6.3836e-42 2.2852e-39 -8.0451e-45 7.9714e-45
1.5888e+04 -3.7846e-26 1.2789e-11 1.4350e-41 5.1314e-39 -2.6081e-44 2.5841e-44
1.5960e+04 -1.3981e-26 -5.9979e-10 3.2044e-41 1.1447e-38 -8.3178e-44 8.2408e-44
