Frequency(THz) Wavelength(um) Source Detector[0] Detector[1] Detector[2] Detector[3] Detector[4]
2.0051e+02 1.4952e+00 1.5489e-01 9.5258e-08 1.8237e-06 5.2553e-07 1.5652e-07 3.8164e-07
2.0212e+02 1.4832e+00 2.5132e-01 1.8214e-07 3.4430e-06 8.8659e-07 2.8821e-07 6.4748e-07
2.0374e+02 1.4714e+00 3.6533e-01 2.1339e-07 4.0246e-06 1.0061e-06 3.3551e-07 7.3420e-07
2.0536e+02 1.4599e+00 2.7367e-01 1.2470e-07 2.3718e-06 6.3727e-07 2.0112e-07 4.6254e-07
2.0697e+02 1.4485e+00 1.5611e-01 9.0118e-08 1.7282e-06 5.0518e-07 1.4882e-07 3.6658e-07
2.0859e+02 1.4372e+00 2.6232e-01 1.8536e-07 3.5035e-06 9.0292e-07 2.9326e-07 6.5952e-07
2.1021e+02 1.4262e+00 4.0463e-01 2.2880e-07 4.3123e-06 1.0719e-06 3.5904e-07 7.8244e-07
2.1182e+02 1.4153e+00 3.0481e-01 1.3237e-07 2.5149e-06 6.6868e-07 2.1281e-07 4.8540e-07
2.1344e+02 1.4046e+00 1.5770e-01 8.4885e-08 1.6309e-06 4.8413e-07 1.4096e-07 3.5104e-07
2.1506e+02 1.3940e+00 2.7234e-01 1.8767e-07 3.5474e-06 9.1561e-07 2.9695e-07 6.6896e-07
2.1668e+02 1.3836e+00 4.4761e-01 2.4520e-07 4.6190e-06 1.1421e-06 3.8412e-07 8.3405e-07
2.1829e+02 1.3734e+00 3.4139e-01 1.4199e-07 2.6946e-06 7.0813e-07 2.2749e-07 5.1416e-07
2.1991e+02 1.3633e+00 1.6002e-01 7.9740e-08 1.5351e-06 4.6305e-07 1.3320e-07 3.3541e-07
2.2153e+02 1.3533e+00 2.8112e-01 1.8900e-07 3.5727e-06 9.2436e-07 2.9915e-07 6.7546e-07
2.2314e+02 1.3435e+00 4.9437e-01 2.6251e-07 4.9426e-06 1.2167e-06 4.1062e-07 8.8881e-07
2.2476e+02 1.3338e+00 3.8420e-01 1.5373e-07 2.9140e-06 7.5644e-07 2.4540e-07 5.4939e-07
2.2638e+02 1.3243e+00 1.6352e-01 7.4842e-08 1.4439e-06 4.4261e-07 1.2581e-07 3.2021e-07
2.2799e+02 1.3149e+00 2.8838e-01 1.8926e-07 3.5781e-06 9.2870e-07 2.9972e-07 6.7871e-07
2.2961e+02 1.3057e+00 5.4496e-01 2.8064e-07 5.2814e-06 1.2951e-06 4.3837e-07 9.4648e-07
2.3123e+02 1.2965e+00 4.3410e-01 1.6778e-07 3.1763e-06 8.1438e-07 2.6682e-07 5.9176e-07
2.3285e+02 1.2875e+00 1.6874e-01 7.0407e-08 1.3613e-06 4.2359e-07 1.1908e-07 3.0609e-07
2.3446e+02 1.2786e+00 2.9386e-01 1.8837e-07 3.5622e-06 9.2826e-07 2.9854e-07 6.7844e-07
2.3608e+02 1.2699e+00 5.9942e-01 2.9945e-07 5.6333e-06 1.3771e-06 4.6721e-07 1.0067e-06
2.3770e+02 1.2612e+00 4.9199e-01 1.8428e-07 3.4845e-06 8.8276e-07 2.9199e-07 6.4174e-07
2.3931e+02 1.2527e+00 1.7636e-01 6.6661e-08 1.2912e-06 4.0696e-07 1.1337e-07 2.9370e-07
2.4093e+02 1.2443e+00 2.9727e-01 1.8629e-07 3.5238e-06 9.2277e-07 2.9552e-07 6.7451e-07
2.4255e+02 1.2360e+00 6.5771e-01 3.1882e-07 5.9960e-06 1.4621e-06 4.9695e-07 1.0692e-06
2.4416e+02 1.2278e+00 5.5888e-01 2.0340e-07 3.8418e-06 9.6234e-07 3.2117e-07 6.9995e-07
2.4578e+02 1.2198e+00 1.8718e-01 6.3833e-08 1.2384e-06 3.9367e-07 1.0905e-07 2.8371e-07
2.4740e+02 1.2118e+00 2.9836e-01 1.8296e-07 3.4621e-06 9.1195e-07 2.9061e-07 6.6659e-07
2.4902e+02 1.2039e+00 7.1977e-01 3.3863e-07 6.3666e-06 1.5497e-06 5.2738e-07 1.1335e-06
2.5063e+02 1.1961e+00 6.3583e-01 2.2529e-07 4.2509e-06 1.0541e-06 3.5461e-07 7.6704e-07
2.5225e+02 1.1885e+00 2.0213e-01 6.2200e-08 1.2078e-06 3.8493e-07 1.0653e-07 2.7708e-07
2.5387e+02 1.1809e+00 2.9690e-01 1.7838e-07 3.3767e-06 8.9545e-07 2.8373e-07 6.5460e-07
2.5548e+02 1.1734e+00 7.8544e-01 3.5874e-07 6.7426e-06 1.6389e-06 5.5825e-07 1.1991e-06
2.5710e+02 1.1661e+00 7.2397e-01 2.5013e-07 4.7148e-06 1.1585e-06 3.9253e-07 8.4345e-07
2.5872e+02 1.1588e+00 2.2232e-01 6.2060e-08 1.2049e-06 3.8197e-07 1.0624e-07 2.7462e-07
2.6033e+02 1.1516e+00 2.9268e-01 1.7248e-07 3.2672e-06 8.7335e-07 2.7490e-07 6.3842e-07
2.6195e+02 1.1445e+00 8.5454e-01 3.7891e-07 7.1206e-06 1.7294e-06 5.8935e-07 1.2656e-06
2.6357e+02 1.1374e+00 8.2452e-01 2.7802e-07 5.2361e-06 1.2764e-06 4.3518e-07 9.2974e-07
2.6519e+02 1.1305e+00 2.4907e-01 6.3731e-08 1.2357e-06 3.8612e-07 1.0869e-07 2.7738e-07
2.6680e+02 1.1237e+00 2.8555e-01 1.6533e-07 3.1340e-06 8.4551e-07 2.6410e-07 6.1808e-07
2.6842e+02 1.1169e+00 9.2678e-01 3.9902e-07 7.4976e-06 1.8205e-06 6.2038e-07 1.3326e-06
2.7004e+02 1.1102e+00 9.3875e-01 3.0908e-07 5.8173e-06 1.4086e-06 4.8276e-07 1.0265e-06
2.7165e+02 1.1036e+00 2.8385e-01 6.7541e-08 1.3066e-06 3.9895e-07 1.1441e-07 2.8645e-07
2.7327e+02 1.0971e+00 2.7541e-01 1.5696e-07 2.9776e-06 8.1200e-07 2.5139e-07 5.9355e-07
2.7489e+02 1.0906e+00 1.0018e+00 4.1889e-07 7.8698e-06 1.9112e-06 6.5107e-07 1.3994e-06
2.7650e+02 1.0842e+00 1.0680e+00 3.4351e-07 6.4609e-06 1.5558e-06 5.3548e-07 1.1344e-06
2.7812e+02 1.0779e+00 3.2841e-01 7.3878e-08 1.4246e-06 4.2212e-07 1.2396e-07 3.0306e-07
2.7974e+02 1.0717e+00 2.6226e-01 1.4740e-07 2.7994e-06 7.7298e-07 2.3686e-07 5.6495e-07
2.8135e+02 1.0655e+00 1.0793e+00 4.3829e-07 8.2338e-06 2.0007e-06 6.8112e-07 1.4654e-06
2.8297e+02 1.0594e+00 1.2138e+00 3.8135e-07 7.1690e-06 1.7187e-06 5.9354e-07 1.2537e-06
2.8459e+02 1.0534e+00 3.8473e-01 8.3139e-08 1.5971e-06 4.5739e-07 1.3796e-07 3.2855e-07
2.8621e+02 1.0475e+00 2.4619e-01 1.3679e-07 2.6009e-06 7.2874e-07 2.2066e-07 5.3246e-07
2.8782e+02 1.0416e+00 1.1586e+00 4.5703e-07 8.5860e-06 2.0883e-06 7.1024e-07 1.5298e-06
2.8944e+02 1.0358e+00 1.3775e+00 4.2273e-07 7.9441e-06 1.8979e-06 6.5715e-07 1.3850e-06
2.9106e+02 1.0300e+00 4.5509e-01 9.5735e-08 1.8323e-06 5.0672e-07 1.5709e-07 3.6431e-07
2.9267e+02 1.0243e+00 2.2743e-01 1.2523e-07 2.3844e-06 6.7973e-07 2.0295e-07 4.9651e-07
2.9429e+02 1.0187e+00 1.2391e+00 4.7495e-07 8.9222e-06 2.1730e-06 7.3809e-07 1.5922e-06
2.9591e+02 1.0131e+00 1.5609e+00 4.6779e-07 8.7879e-06 2.0943e-06 7.2645e-07 1.5289e-06
2.9752e+02 1.0076e+00 5.4209e-01 1.1214e-07 2.1388e-06 5.7230e-07 1.8207e-07 4.1194e-07
2.9914e+02 1.0022e+00 2.0635e-01 1.1287e-07 2.1530e-06 6.2647e-07 1.8398e-07 4.5739e-07
3.0076e+02 9.9679e-01 1.3203e+00 4.9181e-07 9.2388e-06 2.2538e-06 7.6436e-07 1.6518e-06
3.0238e+02 9.9146e-01 1.7655e+00 5.1663e-07 9.7027e-06 2.3083e-06 8.0165e-07 1.6858e-06
3.0399e+02 9.8618e-01 6.4872e-01 1.3287e-07 2.5261e-06 6.5645e-07 2.1369e-07 4.7314e-07
3.0561e+02 9.8097e-01 1.8354e-01 9.9913e-08 1.9103e-06 5.6977e-07 1.6404e-07 4.1571e-07
3.0723e+02 9.7580e-01 1.4012e+00 5.0740e-07 9.5315e-06 2.3297e-06 7.8872e-07 1.7079e-06
3.0884e+02 9.7069e-01 1.9932e+00 5.6936e-07 1.0690e-05 2.5407e-06 8.8291e-07 1.8562e-06
3.1046e+02 9.6564e-01 7.7836e-01 1.5847e-07 3.0045e-06 7.6169e-07 2.5280e-07 5.4979e-07
3.1208e+02 9.6063e-01 1.5979e-01 8.6587e-08 1.6607e-06 5.1061e-07 1.4351e-07 3.7215e-07
3.1369e+02 9.5568e-01 1.4811e+00 5.2145e-07 9.7965e-06 2.3999e-06 8.1082e-07 1.7596e-06
3.1531e+02 9.5078e-01 2.2459e+00 6.2603e-07 1.1753e-05 2.7920e-06 9.7040e-07 2.0406e-06
3.1693e+02 9.4593e-01 9.3487e-01 1.8951e-07 3.5852e-06 8.9077e-07 3.0031e-07 6.4397e-07
3.1855e+02 9.4113e-01 1.3620e-01 7.3206e-08 1.4096e-06 4.5013e-07 1.2281e-07 3.2757e-07
3.2016e+02 9.3638e-01 1.5589e+00 5.3382e-07 1.0029e-05 2.4632e-06 8.3034e-07 1.8064e-06
3.2178e+02 9.3167e-01 2.5256e+00 6.8679e-07 1.2892e-05 3.0632e-06 1.0643e-06 2.2394e-06
