Time(ps) Source Detector[0] Detector[1] Detector[2] Detector[3] Detector[4]
7.9729e+04 2.2936e-01 3.9730e-01 -9.3202e-02 -2.7858e-01 -8.8849e-02 -1.3084e-01
8.0115e+04 8.1743e-01 6.7320e-01 -1.4578e-01 -2.6478e-01 -9.3585e-02 -1.6638e-02
8.0500e+04 9.9377e-01 6.0991e-01 -1.2500e-01 -1.1764e-01 -5.1247e-02 1.0628e-01
8.0885e+04 6.6956e-01 2.3949e-01 -4.1116e-02 8.9121e-02 1.7036e-02 1.7513e-01
8.1270e+04 8.0970e-03 -2.5136e-01 6.3685e-02 2.5144e-01 7.6944e-02 1.5467e-01
8.1655e+04 -6.5744e-01 -6.1546e-01 1.3654e-01 2.8734e-01 9.8231e-02 5.5248e-02
8.2040e+04 -9.9184e-01 -6.6954e-01 1.4062e-01 1.7839e-01 7.0039e-02 -7.2464e-02
8.2426e+04 -8.2665e-01 -3.8647e-01 7.3747e-02 -2.0748e-02 6.4649e-03 -1.6338e-01
8.2811e+04 -2.4509e-01 9.1123e-02 -3.0406e-02 -2.0975e-01 -6.0495e-02 -1.7114e-01
8.3196e+04 4.5992e-01 5.2272e-01 -1.1934e-01 -2.9327e-01 -9.7076e-02 -9.1708e-02
8.3581e+04 9.3328e-01 6.9097e-01 -1.4818e-01 -2.2903e-01 -8.4786e-02 3.4560e-02
8.3966e+04 9.3655e-01 5.1122e-01 -1.0232e-01 -4.9226e-02 -2.9742e-02 1.4345e-01
8.4351e+04 4.6809e-01 7.4061e-02 -4.8131e-03 1.5567e-01 4.0396e-02 1.7952e-01
8.4737e+04 -2.3614e-01 -4.0028e-01 9.5256e-02 2.8242e-01 9.0319e-02 1.2433e-01
8.5122e+04 -8.2143e-01 -6.7292e-01 1.4742e-01 2.6701e-01 9.4823e-02 5.8897e-03
8.5507e+04 -9.9297e-01 -6.0665e-01 1.2527e-01 1.1693e-01 5.1511e-02 -1.1561e-01
8.5892e+04 -6.6436e-01 -2.3498e-01 3.9851e-02 -9.2430e-02 -1.7918e-02 -1.7845e-01
8.6277e+04 -1.1184e-03 2.5485e-01 -6.5827e-02 -2.5560e-01 -7.8507e-02 -1.5082e-01
8.6662e+04 6.6269e-01 6.1621e-01 -1.3841e-01 -2.9010e-01 -9.9606e-02 -4.6946e-02
8.7048e+04 9.9270e-01 6.6729e-01 -1.4115e-01 -1.7819e-01 -7.0396e-02 8.0343e-02
8.7433e+04 8.2270e-01 3.8249e-01 -7.2547e-02 2.3956e-02 -5.4861e-03 1.6668e-01
8.7818e+04 2.3832e-01 -9.4784e-02 3.2763e-02 2.1434e-01 6.2353e-02 1.6880e-01
8.8203e+04 -4.6611e-01 -5.2433e-01 1.2153e-01 2.9664e-01 9.8738e-02 8.6206e-02
8.8588e+04 -9.3576e-01 -6.8999e-01 1.4886e-01 2.2907e-01 8.5156e-02 -3.9082e-02
8.8973e+04 -9.3408e-01 -5.0837e-01 1.0097e-01 4.5690e-02 2.8440e-02 -1.4408e-01
8.9359e+04 -4.6191e-01 -7.0803e-02 2.1563e-03 -1.6076e-01 -4.2662e-02 -1.7655e-01
8.9744e+04 2.4292e-01 4.0254e-01 -9.7582e-02 -2.8587e-01 -9.2110e-02 -1.2089e-01
