Frequency(THz) Wavelength(um) Source Detector[0] Detector[1] Detector[2] Detector[3] Detector[4]
1.8393e-06 1.6299e+08 1.1650e+00 5.6463e-02 2.7339e-03 9.2893e-02 3.1096e-02 1.4428e-01
1.8494e-06 1.6210e+08 7.8076e-01 1.0079e-01 3.5051e-05 3.9300e-02 2.3041e-02 1.3302e-01
1.8595e-06 1.6122e+08 3.1584e-02 6.8258e-02 9.8512e-04 4.0443e-03 6.9156e-03 1.3624e-01
1.8696e-06 1.6035e+08 4.1719e-01 9.5593e-03 1.4243e-03 4.1043e-03 1.8487e-03 1.3270e-01
1.8797e-06 1.5949e+08 1.1730e+00 2.0318e-02 7.0841e-04 2.1081e-02 9.5279e-03 9.5738e-02
1.8898e-06 1.5863e+08 7.9069e-01 7.5745e-02 2.8668e-03 2.7454e-02 1.6943e-02 5.9470e-02
1.9000e-06 1.5779e+08 3.3037e-02 8.2708e-02 8.5733e-03 1.8004e-02 1.4497e-02 5.2539e-02
1.9101e-06 1.5695e+08 4.1680e-01 5.5008e-02 1.1666e-02 6.7883e-03 4.8025e-03 3.7589e-02
1.9202e-06 1.5613e+08 1.1812e+00 8.8034e-02 7.7584e-03 4.1182e-03 3.8760e-04 4.2357e-03
1.9303e-06 1.5531e+08 8.0087e-01 1.7034e-01 2.0712e-03 9.3504e-03 1.3615e-02 3.8467e-02
1.9404e-06 1.5450e+08 3.4540e-02 1.7744e-01 2.9764e-03 1.8757e-02 4.0152e-02 1.8414e-01
1.9505e-06 1.5370e+08 4.1648e-01 7.8691e-02 9.9811e-03 2.7791e-02 5.5510e-02 3.1195e-01
1.9606e-06 1.5291e+08 1.1898e+00 2.7271e-03 1.4392e-02 3.0967e-02 4.1477e-02 2.6936e-01
1.9707e-06 1.5213e+08 8.1132e-01 4.1692e-02 1.1512e-02 2.9476e-02 1.2780e-02 1.1109e-01
1.9808e-06 1.5135e+08 3.6093e-02 1.1743e-01 5.8903e-03 3.1990e-02 1.9552e-04 2.8293e-02
