Frequency(THz) Wavelength(um) Source Detector[0] Detector[1] Detector[2] Detector[3] Detector[4]
2.8621e+02 1.0475e+00 2.5747e+00 1.0363e-09 6.6184e-05 4.6011e-07 1.4316e-05 7.9572e-06
2.8782e+02 1.0416e+00 2.6113e+00 1.0842e-09 6.6479e-05 4.6697e-07 1.4385e-05 8.0054e-06
2.8944e+02 1.0358e+00 2.6482e+00 1.1921e-09 6.6639e-05 4.6644e-07 1.4443e-05 8.0780e-06
2.9106e+02 1.0300e+00 2.6853e+00 1.2131e-09 6.6783e-05 4.6876e-07 1.4548e-05 8.1310e-06
2.9267e+02 1.0243e+00 2.7227e+00 1.1655e-09 6.7061e-05 4.7899e-07 1.4669e-05 8.1579e-06
2.9429e+02 1.0187e+00 2.7603e+00 1.2022e-09 6.7365e-05 4.8722e-07 1.4745e-05 8.2023e-06
2.9591e+02 1.0131e+00 2.7982e+00 1.3192e-09 6.7534e-05 4.8739e-07 1.4801e-05 8.2750e-06
2.9752e+02 1.0076e+00 2.8363e+00 1.3583e-09 6.7659e-05 4.8891e-07 1.4901e-05 8.3330e-06
2.9914e+02 1.0022e+00 2.8747e+00 1.3085e-09 6.7913e-05 4.9886e-07 1.5026e-05 8.3613e-06
3.0076e+02 9.9679e-01 2.9133e+00 1.3321e-09 6.8221e-05 5.0843e-07 1.5109e-05 8.4019e-06
3.0238e+02 9.9146e-01 2.9521e+00 1.4558e-09 6.8402e-05 5.0953e-07 1.5164e-05 8.4738e-06
3.0399e+02 9.8618e-01 2.9912e+00 1.5149e-09 6.8511e-05 5.1034e-07 1.5259e-05 8.5366e-06
3.0561e+02 9.8097e-01 3.0304e+00 1.4662e-09 6.8737e-05 5.1983e-07 1.5387e-05 8.5671e-06
3.0723e+02 9.7580e-01 3.0699e+00 1.4753e-09 6.9045e-05 5.3062e-07 1.5478e-05 8.6039e-06
3.0884e+02 9.7069e-01 3.1096e+00 1.6026e-09 6.9239e-05 5.3289e-07 1.5533e-05 8.6742e-06
3.1046e+02 9.6564e-01 3.1496e+00 1.6832e-09 6.9335e-05 5.3314e-07 1.5621e-05 8.7414e-06
3.1208e+02 9.6063e-01 3.1897e+00 1.6392e-09 6.9532e-05 5.4197e-07 1.5751e-05 8.7748e-06
3.1369e+02 9.5568e-01 3.2300e+00 1.6331e-09 6.9835e-05 5.5386e-07 1.5851e-05 8.8083e-06
3.1531e+02 9.5078e-01 3.2705e+00 1.7605e-09 7.0042e-05 5.5750e-07 1.5906e-05 8.8760e-06
3.1693e+02 9.4593e-01 3.3113e+00 1.8634e-09 7.0128e-05 5.5738e-07 1.5989e-05 8.9470e-06
3.1855e+02 9.4113e-01 3.3522e+00 1.8281e-09 7.0294e-05 5.6540e-07 1.6119e-05 8.9840e-06
3.2016e+02 9.3638e-01 3.3932e+00 1.8066e-09 7.0586e-05 5.7821e-07 1.6226e-05 9.0145e-06
3.2178e+02 9.3167e-01 3.4345e+00 1.9305e-09 7.0807e-05 5.8340e-07 1.6284e-05 9.0789e-06
3.2340e+02 9.2701e-01 3.4759e+00 2.0558e-09 7.0887e-05 5.8313e-07 1.6361e-05 9.1531e-06
3.2501e+02 9.2240e-01 3.5175e+00 2.0334e-09 7.1021e-05 5.9023e-07 1.6489e-05 9.1943e-06
3.2663e+02 9.1783e-01 3.5593e+00 1.9972e-09 7.1297e-05 6.0374e-07 1.6605e-05 9.2224e-06
3.2825e+02 9.1331e-01 3.6012e+00 2.1136e-09 7.1529e-05 6.1061e-07 1.6667e-05 9.2827e-06
3.2986e+02 9.0884e-01 3.6433e+00 2.2606e-09 7.1608e-05 6.1047e-07 1.6737e-05 9.3593e-06
3.3148e+02 9.0440e-01 3.6855e+00 2.2554e-09 7.1711e-05 6.1656e-07 1.6862e-05 9.4051e-06
3.3310e+02 9.0001e-01 3.7278e+00 2.2061e-09 7.1965e-05 6.3055e-07 1.6985e-05 9.4315e-06
3.3472e+02 8.9566e-01 3.7703e+00 2.3111e-09 7.2207e-05 6.3918e-07 1.7052e-05 9.4872e-06
3.3633e+02 8.9136e-01 3.8129e+00 2.4781e-09 7.2288e-05 6.3946e-07 1.7117e-05 9.5653e-06
3.3795e+02 8.8709e-01 3.8556e+00 2.4944e-09 7.2360e-05 6.4452e-07 1.7238e-05 9.6160e-06
3.3957e+02 8.8287e-01 3.8984e+00 2.4345e-09 7.2588e-05 6.5871e-07 1.7368e-05 9.6414e-06
3.4118e+02 8.7868e-01 3.9414e+00 2.5243e-09 7.2836e-05 6.6917e-07 1.7440e-05 9.6921e-06
3.4280e+02 8.7454e-01 3.9844e+00 2.7089e-09 7.2922e-05 6.7016e-07 1.7500e-05 9.7707e-06
3.4442e+02 8.7043e-01 4.0275e+00 2.7506e-09 7.2967e-05 6.7421e-07 1.7616e-05 9.8264e-06
